id,mdb,project_name,region,multi_country,country,iso_country_code,city,year,context,sector,subset,amounttotal_2020usd,amountmdb_2020usd,sponsor1,amount1,sponsor2,amount2,sponsor3,amount3,sponsor4,amount4,sponsor5,amount5,sponsor6,amount6,sponsor7,amount7,ppp_sanitation,ppp_water,amount_sanitation,amount_water,primaryc,secondaryc,towns,network_infrastructure,n_drains_sewers,n_treatment,non_network_infrastructure,nn_containment,nn_transport,nn_treatment,nn_disposal,nn_reuse,ur1,ur2,ur3,ur4,ur5,er1,er2,er3
P009345,IBRD,Dacca Water Supply and Sewerage Project,Southern Asia,0,Bangladesh,BGD,Dhaka,1963,Urban,Water & Sanitation,2,314545359.129252,111552894.693878,GOV,202992464.435374,IBRD,111552894.693878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,Non,14210000,13220000,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P009344,IBRD,Chittagong Water Supply Project,Southern Asia,0,Bangladesh,BGD,Chittagong,1963,Urban,Water,3,171047771.863946,59156838.0952381,GOV,111890933.768707,IBRD,59156838.0952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,20240000,1,0,0,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P004413,IBRD,Manila Metropolitan Water Supply Project,South-eastern Asia,0,Philippines,PHL,Manila,1964,Urban,Water,3,402193387.426115,168554075.228372,GOV,233639312.197743,IBRD,168554075.228372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,48200000,1,0,0,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P004633,IBRD,Johore Water Supply Project,South-eastern Asia,0,Singapore,SGP,Singapore,1965,Urban,Water,3,112532546.416292,55855570.4839989,IBRD,55855570.4839989,GOV,56676975.932293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,13700000,1,0,0,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P000166,IBRD,Water Supply Project (01),Eastern Africa,0,Burundi,BDI,Bujumbura,1966,Urban,Water,3,13555193.3247754,8771007.44544288,IBRD,8771007.44544288,GOV,4784185.87933248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,1700000,1,0,0,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P010043,IBRD,Lahore Water Supply and Sewerage Project,Southern Asia,0,Pakistan,PAK,Lahore,1967,Urban,Water & Sanitation,2,44999393.4549088,13577403.1976018,IBRD,13577403.1976018,OTHER_MULTI_BI_LATERAL,13577403.1976018,GOV,17844587.0597052,NA,NA,NA,NA,NA,NA,NA,NA,Non,Non,6500000,9800000,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P004639,IBRD,Sewerage Project,South-eastern Asia,0,Singapore,SGP,Singapore,1968,Urban,Sanitation,3,166670919.02252,44643996.1667465,IBRD,44643996.1667465,GOV,122026922.855774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,22400000,NA,1,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P005601,IBRD,Water Supply Project (01),Northern Africa,0,Tunisia,TUN,MULTI,1968,Urban,Water,3,244053845.711548,111609990.416866,IBRD,111609990.416866,OTHER_MULTI_BI_LATERAL,37203330.1389554,GOV,95240525.1557259,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,32800000,1,63,0,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P004224,IBRD,Kuala Lumpur Water Supply Project,South-eastern Asia,0,Malaysia,MYS,Kuala Lumpur,1968,Urban,Water,3,57293128.4139914,26786397.7000479,GOV,30506730.7139435,IBRD,26786397.7000479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,7700000,1,0,0,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P006713,IBRD,Bogota Water Supply Project,South America,0,Colombia,COL,Bogota,1968,Urban,Water,3,262655510.781025,104169324.389075,GOV,158486186.39195,IBRD,104169324.389075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,35300000,1,0,0,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
